waiting for 1 second sample...
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   7   1  4290   5051   1G  67M  24G  22G 364M   5G 244112    748     32      2 
   7   1  4197   5022   1G  67M  24G  22G 364M   5G 249232    788      0      0 
   7   1  4048   5444 793M  67M  24G  23G 364M   5G 244364    750      0      0 
   7   1  3737   5177 539M  67M  25G  23G 365M   5G 259216    789      0      0 
   8   1  3852   5022 294M  67M  25G  23G 365M   5G 249744    759      0      0 
  10   5  3959   4916   3G  67M  21G  21G 257M   5G 225676    730     36      2 
   8   2  3706   4999   3G  67M  21G  21G 257M   5G 222736    688      0      0 
   8   1  3619   4768   3G  67M  22G  21G 257M   5G 228620    727      0      0 
   7   1  3367   4819   3G  67M  22G  21G 258M   5G 229008    691      0      0 
   7   1  3658   4848   3G  67M  22G  22G 258M   5G 233996    752    396     37 
   8   2  3911   4765   2G  67M  22G  22G 259M   5G 224912    697      0      0 
   7   1  3599   4765   2G  67M  23G  22G 259M   5G 223500    673     68      2 
   7   1  3626   5143   2G  67M  23G  22G 260M   5G 234128    716      0      0 
  11   2  4069   6096   2G  67M  23G  22G 260M   5G 225420    701      0      0 
   8   1  3725   5052   1G  67M  23G  23G 261M   5G 233484    729      0      0 
   7   1  3533   4932   1G  67M  23G  23G 262M   5G 241808    736      0      0 
   8   1  3552   4965   1G  67M  24G  23G 262M   5G 236944    729     48      2 
   8   2  3816   4933   1G  67M  24G  23G 263M   5G 239628    744      0      0 
   8   1  3503   4873   1G  67M  24G  23G 264M   5G 224912    699      0      0 
   8   1  3579   4971 855M  67M  24G  24G 264M   5G 247052    755      0      0 
   8   1  3597   5159 620M  67M  25G  24G 264M   5G 239504    730      0      0 
   8   2  3433   4803 387M  67M  25G  24G 265M   5G 238096    721     40      2 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  10   4  3965   5152   4G  67M  21G  20G 256M   5G 234636    774      0      0 
